-9.312502919057275008e-03 -1.287676318950881083e-03 -3.687143776490042768e-03 -2.021250659878459643e-03 -9.995885568193485504e-01
9.994433250491663312e-01 1.018447376852129986e-02 1.149257055116220151e-02 3.888409976681402643e-03 -1.542308274712350484e-02
-1.807192150212754561e-02 -9.989216799745239683e-01 1.910095764508953561e-02 6.968056223197685028e-01 -1.240377497341042280e-02
-9.749790017302964115e-03 -4.185204497767612553e-02 -7.541717008013010259e-01 7.168937142059321754e-01 -4.864446654981814146e-03
-8.396333153775612651e-03 -4.107164388391167271e-03 -6.556913591007522690e-01 -3.392538421048471435e-04 9.458392447147856430e-03
5.885928386912875343e-03 1.129563432544813950e-02 -2.710968489663542584e-03 1.777333159557599115e-02 -5.996497484958963984e-04
1.039207356942492902e-02 -8.777444806140328017e-04 1.507100572461413969e-02 -1.146292493236089963e-02 1.604120081729347447e-02
5.800599956418249319e-03 7.858744791661148935e-03 1.730961274378971237e-02 -3.354179503104159996e-03 -4.342378654635993562e-04
-1.133320599350366546e-02 -2.562997026784253219e-03 1.468352414735840834e-02 -5.460366491547007442e-03 8.559851360984675360e-04
-1.514722012336365900e-02 9.216429832465924260e-03 5.801153556871370930e-03 4.201293808431172741e-03 -7.698503445094720399e-03
